Starred,"[datetime.datetime(2016, 7, 6, 14, 35, 16, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
Releases,
Taggers,
Reactions,
Watcher,False
AssigneeIssues,False
AuthorIssue,"[datetime.datetime(2016, 12, 18, 17, 15, 31, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=75600))), datetime.datetime(2018, 1, 12, 22, 5, 34, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=75600)))]"
EditorIssue,"[datetime.datetime(2018, 1, 12, 22, 14, 59, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=75600)))]"
ParticipantIssue,True
AssigneePullRequest,False
AuthorPullRequest,
EditorPullRequest,
ParticipantPullRequest,False
Merged,
SuggestedReviewer,False
